,Post,Predicted Sentiment NB,Predicted Sentiment SGD,Predicted Sentiment SGD_GS,Actual Sentiment
138,我刚在亚马逊Z.cn购买了 'Schwarzkopf施华蔻羊绒脂滋养洗发露400ml' 品牌: Schwarzkopf 施华蔻。 http://t.cn/z8FGRW9,neu,neu,neu,neu
139,海飞丝男士去屑洗发露多效水润动能型秒杀:#海飞丝去屑实力派#男性头皮皮脂的分泌比女性旺盛，更易出油，选择海飞丝男士系列，无惧出油尴尬，远离头屑问题！5月9日至5月15日登陆屈臣氏会员网站即可参加会员尊享秒杀，获30元购原价48.5元海飞丝男士去屑洗发露的名额，全国限量300份 http://t.cn/aO3Jp4,neu,neu,neu,neu
140,#飘柔·自然之美#和我们的皮肤一样，秀发的发髓也是由胶原蛋白组成。飘柔滋润去屑系列针对发芯受损，为秀发及时补充胶原蛋白，同时滋养头皮修复毛鳞片，给秀发从里到外的全面修复。初秋了，你有认真补充胶原蛋白吗？,neu,neu,pos,neu
141,#告别平庸 美发心机#我最受用的美发心机是赴约美发心机，一瓶施华蔻奢极黑金日臻瞬柔精华露随时随地搞定！继续积极支持@施华蔻官方微博 带来的给力活动，嗲，期待RP爆发！！@我本玉树临风 @光耀_九州,pos,pos,pos,pos
142,【鼓吹买房送学位 深圳一开发商被罚20万】7月26日，深圳净水公司“强征”楼盘自来水管道安装工程，涉嫌垄断被罚300多万；仿冒名牌“欧莱雅”洗发水，广州一家日化公司被罚款2万元；鼓吹买楼送重点学位结果却是虚假宣传，开发商被罚20万元。,neu,neu,neu,neu
143,#沙宣x花瓣网国际时装周报道# 发型与时尚总是暧昧不明，时装周期间，沙宣鼎力支持后台工作，为超模打造最时尚的发型，顶级时尚盛宴呈现眼前。@花瓣网 联合@沙宣VidalSassoon 为您呈现最精彩的2014秋冬国际时装周，分享精彩还能赢取时尚好礼。 http://t.cn/8FdOwxA,neu,neu,neu,neu
144,一直都是很喜欢海飞丝的，使用很长时间了,pos,pos,pos,pos
145,【宝洁拟剥离100个品牌】 宝洁公司（Procter & Gamble）公布了一项剥离100个品牌的新方案。公司首席执行官雷富礼对分析师表示，公司将专注于70至80个品牌，这些品牌为公司贡献了约90%的销售额和95%的利润。将被剥离的包括：潘婷（Pantene）、玉兰油（Olay）、欧乐B（Oral-B）和Bounty纸巾等。,neu,neu,neu,neu
146,猛然发现最近微信上的活动好多好多，本着到处散散的原则，目前也有点收获，不过等着快递送到呢！ 先开个帖记录下，等到东西到了，逐一更新 1. 施华蔻微信 奖品：施华蔻旅行装 2.周大福微信 奖品： 中秋公仔（也有可能是零钱包）,neu,neu,pos,neu
147,#Miss Pan公开课#夏日爱游泳，凉爽的同时又能保持身材。但是游泳池里常需要加入杀菌消毒剂，而这些，都对头发有较强的损伤作用，因此坚持每次游泳后用清水洗发，使用潘婷乳液修护系列精华露，密集滋润修护损伤，为你提供整日的秀发保护。,pos,pos,pos,neu
148,今年8月生日员工生日福利，飘柔洗发水套装；今年11月运动会上班员工福利，威露士泡沫洗手液。。。。。。该说什么好呢？[汗],neu,neu,pos,neu
149,正品巴黎欧莱雅洗发水健发固发强韧焕发洗发露500ml 控油防脱发http://t.cn/zRboXJM,neu,neu,neu,neu
150,正品欧莱雅护发精油，两种颜色，黄色加强柔顺，红色加强修复，白菜价[飞吻]下面图是美眉们给的实物图哦[飞吻]本人自己也在用同款 http://t.cn/8kVyMtP,neu,pos,neu,neu
151,我对海飞丝是比较喜欢的,pos,pos,pos,pos
152,就是清扬我比较的喜欢，而且对于头发的保护也非常的全面,pos,pos,pos,pos
153,潘婷这广告打得蛮有意义。,neu,neu,pos,neu
154,"欧莱雅弹力素,只用过一次;欧莱雅发质精油,全新.价格商议,想买的童孩评论吧,我会私信你的.[围观][围观]",neu,neu,pos,neu
155,跟我妈去超市买沐浴露，到地方后我妈直接拿个海飞丝给我。。我说：妈，买的是沐浴露好不好。。我妈说：想你这样毛发旺盛的沐浴露都不行。。。[生病][生病],neu,neu,pos,neu
156,有奖转发！#节水妙招征集#赢施华蔻免洗润发乳、mini电水壶等大奖期待期待！！,neu,neu,neu,neu
157,喜欢沙宣，沙宣也从来没让我失望过,pos,pos,pos,pos
158,祁连山的来客 一品玫丽人坊 http://t.cn/zRLxgmR 一钻 飘柔750ml洗发露---山茶长效柔顺去屑 http://t.cn/zR0wdk3,neu,neu,neu,neu
159,屌爆了！我在京东JD.COM购买了飘柔家庭绿茶长效清爽去油洗发露750...：买到我喜欢的物品，价廉物美，又能在极短的时间收到，心情真真是极好的了~！！ 物流速度之快，超乎我的想象，大赞一个~！！#京东让红包飞#超赞的！ http://t.cn/8DFzXXN,pos,pos,pos,neu
160,给别人的飘柔 头发就是这么柔顺~,pos,pos,pos,pos
161,#闻香识女人#最喜欢沙宣的香味。@美吾发Maywufa @吥綄镁_6879 @小梦丬 @小谷KOTANI,pos,pos,pos,pos
162,#优酷让红包飞#小伙伴们都惊呆了吗？我参加了飘柔《秀出来，勇敢爱》活动，成为浪漫故事的主角！链接：http://t.cn/8FJq9vp http://t.cn/8FJq9vp,neu,neu,neu,neu
163,想买——评论 @惠惠网 【施华蔻 斐丝丽睡莲水养洗发露680ml】 这款施华蔻（Schwarzkopf） 斐丝丽睡莲水养洗发露680ml是施华蔻旗下产品，相信经常逛屈臣氏的朋友们对这个大头娃娃并不陌生。本款洗发水添加水解角蛋白和莲花提取物。融萃睡莲水润精粹和丰富滋养...http://t.cn/RvTRol0,neu,neu,neu,neu
164,欧莱雅护发土豪金速速采购一大波性价比高又好用的欧莱雅奇焕润发精油在感恩节前送给好友们//@全球热门搜录: 遥望当年遭哄抢的IPHONE土豪金，如今性价比更高的#欧莱雅护发土豪金#更受女性亲睐~感恩节的感恩礼送起！,pos,pos,pos,neu
165,在室友睡覺的時候往他頭上撒點立頓奶茶 等他醒來發現肯定會去洗頭 順便把他的清揚換成香油...... 之後在他洗完頭擦頭髮的毛巾上擠上一坨中華牙膏！！！. 哈哈哈哈哈哈?? 我就不信有比我狠的@有家就有联合利华,neu,neu,pos,neu
166,5月的威尼斯，充满诗意的浪漫，令人忘掉忧伤流连忘返。活力海飞丝无惧地中海气候挑战，让秀发随水花起舞！#环球发现美#宝洁送你2000元梦想旅游基金，说走就走的旅行，现在就出发：http://t.cn/8sWfGmP 更多旅游护发攻略点这里 http://t.cn/8s0JMkG 我的宝贝叫石头,pos,pos,neu,neu
167,"沙宣献上春日好礼只有参加了 才能有机会获奖,美好的一天，从这里开始。 地址：http://t.cn/8sqDwXT",neu,neu,neu,neu
168,罗志祥 曾恺玹【飘柔广告温馨恋曲】两年构成一部浪漫偶像剧！完整版~值得收藏哦~,neu,neu,pos,neu
169,回复第3楼(作者:@纽约的风花雪月 于 2011-04-11 10:47) 　　之前在国内用的是沙宣mark 　　这是试过了所有超市里的牌子后选择的一款，深层水润的好像是。配合她家的护…… 　　==========,neu,neu,pos,neu
170,#丝家沙龙#女生们每天起床后到出门前的这段时间非常宝贵，因为要在有限的时间里做好清洁+化妆+发型+服装等一些列工作，这时一款简单易学的通勤OL发型就变得非常实用，在飘柔倍瑞丝顺发喷雾的帮助下，即使你是手残星人也能学会哒~,neu,pos,pos,neu
171,洗发水护发素有人要么 潘婷时光修复大瓶的 一套 几乎全新,neu,neu,pos,neu
172,最近大降温，干燥得头发总像长了毛。还好闺蜜送了套施华蔻的全新高端线恒时珍粹旅行装，才用了两次，毛躁的感觉就消失了，回归小V标志性的乌黑亮丽顺滑范儿！忍不住分享给各位JM，no zuo no fashion，够作够闪耀！,pos,pos,pos,pos
173,海飞丝的高端产品，怪不得效果如此好呢,pos,pos,pos,pos
174,潘婷也出高端的护发精华液了，一看包装不由想到家里用的欧莱雅的护发小金瓶精华，为什么包装不能创新一点呢？比欧莱雅多20毫升，贵30多块钱，下次试试，自家产品还是要支持滴～,neu,neu,pos,neu
175,想要自信 就用清扬....,pos,pos,pos,pos
176,#欧莱雅精油护发#[笑哈哈]哈哈，终于等到这个活动喽。等了好长时间了，来吧，大奖  地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
177,#分享有礼#Ho Ho Ho 亚马逊12月变身圣诞老人送出大量礼品卡，成功分享到新浪微博就有机会赢1200元礼品卡，共20个名额。活动时间12.9-12.31。我刚在@亚马逊 找到了PANTENE 潘婷 乳液修复 洗发露750ml 促销装 品牌: Pa... http://t.cn/8kiZFPf,neu,neu,neu,neu
178,#探索潘婷护发实验室#时刻关注你们的活动 始终是你们的忠实粉丝 祝愿你们每天开心快乐!  地址：http://t.cn/zRo8JGk,pos,pos,neu,pos
179,"#九月宝贝自己有礼转发#   巴黎欧莱雅 沙龙专属“琉彩之韵""精华露125ml。从东方神秘的美容密宗中得到启发，”琉彩之韵“护理油可用于护理使用。轻盈质地为各类秀发提供滋养和保护。 @就是喜欢这样sunshine   @加油演唱会   @幸福拐角123",neu,neu,neu,neu
180,#丝密养护#入秋后，油性发质的MM总会抱怨的一个问题就是：头发没有变得干燥反而继续保持油腻的状态。飘柔倍瑞丝专研抗屑系列将传奇去屑因子加入Salon PLUS+专研沙龙护发科技中，有效去除油腻污垢，帮助实现丰盈感。http://t.cn/RhY0Yhr,pos,pos,neu,neu
181,#春季尝鲜找你妹# 10个 玉兰油新生塑颜金纯面霜。潘婷秀发丰盈润泽凝萃液。玉兰油水感透白净瑕面霜。海肌源水漾凝透眼霜。海肌源水漾凝透爽肤水。 Pro-X微晶亮肤洁面仪。潘婷烫染修护深层滋养发膜。海飞丝头皮养护秀发丰盈露。SK-IIl限量版护肤精华露。 海肌源莹亮BB霜,neu,neu,pos,neu
182,oh my god！[哼]我现在还在用着潘婷呢，好恶心的啊，都不敢用了。//@严TiTi:@1818黄金眼 //@严TiTi: 这是真的，没有在开玩笑，我亲眼看到的，我也在用潘婷[可怜]，都不敢用了@温州草根新闻,pos,pos,pos,neg
183,最满意的就是海飞丝的去屑效果了,pos,pos,pos,pos
184,用了欧莱雅护发土豪金再也不怕吹风机弄伤我的头发啦,pos,pos,pos,pos
185,#我的欧莱雅秀发非凡时刻#(来自 http://t.cn/8FNBCfK ),neu,neu,pos,neu
186,我想体验沙宣新品，因为我想让沙宣光感莹润洗护发系列解决我头发的干枯毛躁，易打结和断发烦恼，将我的染后秀发打造成炫亮光感、顺感丝滑、水感盈润的秀发。,neu,pos,pos,neu
187,“伤芯透”的秀发困扰：经常染烫折腾之后，发根变得脆弱易掉；发丝变得毛燥暗淡无光；发梢干枯分叉。每天就像头顶一堆稻草，让我很没自信！ 但愿“14天体验潘婷不一样”强韧发根，修护滋养修复，让我和秀发健康、光泽更柔顺，求好运哦！,pos,pos,pos,neu
188,#恒时传奇，至珍呵护# 我与超级名模克劳迪娅.希弗一起发现了秀发恒时美丽的奥秘，收集珍珠能量，赢取施华蔻全新essence ULTIME恒时珍粹定制礼盒及Mikimoto珍珠项链，详情点击http://t.cn/RveBuNv,neu,neu,pos,neu
189,#欧莱雅精油护发#好口碑好服务好态度。老百姓信赖，身边最美的关怀，最美的祝福送给你们。[给力]  地址：http://t.cn/8kBYjQQ,pos,pos,pos,pos
190,巴黎欧莱雅奇焕润发精油大赠送！心平如境是一种修养，顺其自然是一种超脱，希望这次活动会被幸运！.. 地址：http://t.cn/zRVth3L,neu,pos,neu,neu
191,去屑实力派，当然海飞丝。 演技实力派，当然彭于晏。#Eddie peng#yuyanpeng #彭于晏#海飞丝#实力派#man#love http://t.cn/8FLTW6N,pos,pos,pos,pos
192,潘婷洗发水也不要多用了QAQ宝洁旗下的洗发水用多了掉头发好厉害…换回云南白药试试[泪][泪],neu,neg,pos,neg
193,"爱上潘婷，爱它带给我的惊喜,给我内在气质,外在美,让我秀发变得柔顺丝滑，乌黑靓丽!",pos,pos,pos,pos
194,嘻嘻，最爱用沙宣轻╪盈顺柔洗发露+空气感卷发蜡@太不公平暗色调 @冰晶babyz,pos,pos,neu,pos
195,用了潘婷的护发素。。我觉得我头发都要掉光了。。是我头发的问题么??????#我不是要黑潘婷#,pos,pos,pos,neg
196,#欧莱雅炫发大赛#快点来参加~在车站看到欧莱雅奇焕润发精油的代言人是李冰冰~秀发超级漂亮好羡慕！,pos,pos,pos,neu
197,#欧莱雅精油护发#童鞋们快来哦，迟了就没有！  地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
198,施华蔻 羊绒脂滋养发膜 150ml*2盒 66元（用码后61元 折合30.5元/盒 另有 水凝胶原修护发膜） 阅读促销详情：附链接 (直达购买链接点击：附链接 来自：@360值得买),neu,neu,neu,neu
199,坐在诊台对面的老中医对我说：“你这个病主要是因为清气下降、浊气上升。　　邪气逆乱导致的气血不足。五脏虚症，照我这个方子抓两服药吃了就好了。”　　方子上写着当归、人参、田七等名贵的中药材，　　于是我拿着方子去超市买了一瓶飘柔汉方本草洗发露...,neu,neu,pos,neu
200,#欧莱雅一滴改变等你见证# +@艾艾市场营销策划有限公司 @菲菲198901 @O泡泡Ooo00 我在欧莱雅平台里最喜欢的“小贴士是奇焕润发精油见证之整夜精油护发，因为这让我在晚上也能享受精油的呵护。,pos,pos,pos,pos
201,#欧莱雅我的护“发”使者#夏日游泳担心我的秀发困扰，希望奇焕润发精油能让我的头发变得柔顺光滑！@Running肖肖 @Honhong网易 @TTaurus,pos,pos,pos,neu
202,欧莱雅儿童洗发水迪斯尼公主款～265ml～现68,neu,neu,pos,neu
203,刘亦菲汤唯最新版潘婷广告,neu,neu,pos,neu
204,诱人的草莓味洗发香波，无泪、不打结、不开叉、超级柔顺！【L’Oreal欧莱雅儿童专用超温和2合1洗发香波（草莓香型）】$2.99，欧莱雅儿童系列是如此温和，无泪配方经过眼科医生验证！在玩耍运动完后清除残留在头发里的灰尘和污垢。身柔软，方便抓握，是一款有趣的香波http://t.cn/8ksHcps,pos,pos,neu,neu
205,时常会想起潘婷广告里那个拉小提琴的姑娘，她哭着问“为什么我和别人不一样”，老人回答“为什么你要和别人一样”。失衡的时候想一想，或是安慰。,neu,neu,pos,neu
206,#好用才推荐# 屈臣氏打折时买的发油 甩施华蔻那些鸡肋的护发喷雾和润发乳好几条街。我头发长 每天两滴也足够。干枯毛躁瞬间抚平闪亮 良心真爱啊！！我要再去屯几瓶。。[心],pos,pos,pos,neg
207,他把头发拉直了，整个人看起来很精神，今天是整个扎起来一个小马尾梳得很紧，插了一个超美的发簪，右边有一束刘海搭下来【飘柔，就是这么自信,neu,pos,pos,neu
208,正品 倒膜膏焗油膏 欧莱雅顺柔润泽发膜500ml 头发柔顺亮泽护理http://t.cn/zRqFzBY,neu,neu,pos,neu
209,【视频李冰冰 巴黎欧莱雅奇焕润发精油 2013—在线播放—优酷网，视频高清在线观看】李冰冰 巴黎欧莱雅奇焕润发精油 2013 李冰冰 巴黎欧莱雅奇焕润发精油 2013  http://t.cn/zRtAWL8 （分享自 @优酷网）,neu,pos,pos,neu
210,欧莱雅护发土豪金这个欧莱雅奇焕润发精油 非常好用 洗完头之后 头发变得很柔软 而且很有光泽感 最让我开心的是 头发变得很直很直的 很神奇哦！最喜欢的感恩节礼物了,pos,pos,pos,pos
211,秀发干枯分叉！海飞丝,pos,pos,pos,neu
212,苏宁L’OREAL欧莱雅促销专场 （分享自 @天天都友好） 11月5日至11月12日，苏宁推出了欧莱雅专场促销，场内活动商品加入购物车5折起，无需凑单。从护肤到洗发护发产品都有，大多数商品打折后都能刷新历史最低价。有计划入点欧莱雅产品的朋友们可以看看。 http://t.cn/R7QXvAQ,neu,neu,neu,neu
213,#莹彩修护 温婉迷人#  潘婷莹彩系列为你锁住秀发迷人色泽，保持发色持久莹亮。 很适合我的发质。求中。@村里的栀子花 @孙小婧婧婧婧 @神采飞扬-中国郎2011,pos,pos,pos,neu
214,#PECTA歌唱大赛#潘婷，此刻尽丝滑！ 我在:http://t.cn/8sJ96ID,neu,neu,pos,neu
215,就是要秀发保养好，[色眯眯]所以你会选欧莱雅奇焕润发精油了。奇焕润发精油,pos,pos,pos,neu
216,欧莱雅护发土豪金效果真心好，用后头发完全不会毛躁欧莱雅护发土豪金,pos,pos,pos,pos
217,#古剑奇谭# 叶沉香好年轻哟，嘿嘿嘿[偷笑]这是少白头的节奏么[思考]哈哈哈~艾玛，叶沉香亮了！帅气！白发飘逸的，用过飘柔了吧[哈哈][哈哈][哈哈],neu,neu,pos,neu
218,#我的欧莱雅秀发非凡时刻#我刚参加了一个免费产品的试用活动，一款神奇的护发产品-欧莱雅奇焕润发精油。快来一起和我加入吧，申请链接： http://t.cn/8sM6ULz,pos,pos,pos,pos
219,卓越买的雅漾喷雾，300毫升，才86港币，好多人买，应该不会是假的吧，另外一千毫升的潘婷护发素才39港币，感觉便宜的有点不可思议。,neu,neu,pos,neu
220,#说出一句暴露年龄的广告词# 飘柔：一传十、十传百，变成全国皆知的秘密,pos,neu,pos,neu
221,以前多数用海飞丝的 头发是油性的 那发型师说不用太好的洗发水 用些差一点的可以中和一下 所以自此后都不用这些牌子,pos,pos,pos,neg
222,【顾客忠诚度就是定位忠诚度】-当你一味地强调或者使用顾客忠诚度的方法而脱离或者缺乏定位时，当你把顾客当傻瓜，消费者发现自己是傻瓜时，顾客将远离你。--从品牌的角度上看，顾客忠诚度就是品牌定位的忠诚度，而不是其他。-顾客选择海飞丝是因为去屑、顾客选择法拉利是因为速度。这就是顾客忠诚度。,neu,neu,pos,neu
223,正品欧莱雅毛发补养精疗受损毛躁头发免洗护发素护发精油80ml http://t.cn/zRoE3gQ,neu,neu,neu,neu
224,#金致DNA#你真的了解自己深埋在内心的金致基因是什么吗？测试你的金致DNA，即有机会获得小金瓶——施华蔻金致润养亮采精华液，蕴含奢养树仁精油和液态精粹，迅速提升秀发金致魅力！  地址：http://t.cn/8kI3rsM,neu,neu,neu,neu
225,#欧莱雅奇焕润发精油#大力支持，希望好运垂怜我，让我中个吧，太期待了[嘻嘻]  地址：http://t.cn/zROCjIS,pos,pos,pos,neu
226,清扬洗发水一共有多少系列的？,neu,neu,pos,neu
227,http://t.cn/8k5w89l  德国施华蔻保丽修护洗发水护发素套装洗护套装1250ml+1000ml 需要的私信我 友情价[亲亲],neu,neu,pos,neu
228,超市买了一瓶海飞丝19.8，本以为会找我两毛，没想到很自觉的给了我俩颗糖，呵呵，拿我当孩子哄吧,neu,neu,pos,neu
229,潘婷Clinicare纤细受损头发修护系列专为亚洲女性纤细发质研发，蕴含高端护肤品精华，有助修护严重受损部位，发质强化配方，令细软发质从此不再扁塌无力，告别发量不足而造成的疏落稀疏，让秀发更丰厚健康。,pos,pos,pos,neu
230,正品 欧莱雅海之蓝蛋白干细胞还原修复素800ml 修复极度受损发质 http://t.cn/zQ6jB9r,neu,neu,pos,neu
231,Schwarzkopf 施华蔻 水凝胶原修护 洗发露 400ml，从内：深海胶原蛋白可有效补充发芯每日流失的胶原蛋白，从根本上打好补水基础。从外：高渗透透明质酸，体积1000倍水分子，在秀发表面形成水能量场。适合人群：干枯毛躁发质，主要功效：8重水魔力深层补水，持久润泽，牢牢锁住 水分，解决头发8大缺水问题，使秀发水活新生。 京东商城报价52.8元，参加满199-101，例如购买4件，实付110.2元包邮，折合27.55元，近期好价，其他商城最低报价40+。,neu,neu,pos,neu
232,潘婷洗发露200ml  功效有： 乳液修复 丝质顺滑 垂顺直...http://t.cn/Rvl32T6（分享自 @微店 http://t.cn/8kD2fJZ）,neu,neu,neu,neu
233,感恩节感恩心欧莱雅护发土豪金用起来,pos,pos,pos,neu
234,等我用完欧莱雅奇焕润发精油也要去参加，秀发美美顺顺超级满意~//@翟义强: 李冰冰还挺适合代言润发产品的，她的长发还是挺有辨识度的#欧莱雅炫发大赛#明天我也去入个欧莱雅奇焕润发精油！,pos,pos,pos,pos
235,很喜欢用潘婷，它让健康秀发，你值得拥有@潘婷pantene@美Moo @莎米米xixi @hilllys,pos,pos,pos,pos
236,#秀出来，勇敢爱#我领取了飘柔秀出来徽章。http://t.cn/8FJzzo6  希望我能像飘柔微电影中的女生一样，勇敢去爱，找到属于自己的“志勇”！http://t.cn/8kVLi0A  在下个情人节前，向着自己的幸福和iPhone5S、拍立得大奖出发！,neu,neu,neu,neu
237,"2500份欧莱雅润发精油免费领取 马年“马上顺”,巴黎欧莱雅润发精油（5ML×3） http://t.cn/8F0SZPA",pos,pos,neu,neu
238,#9点秒场#【Pantene 洗发香波2*500ml装[礼物]】洗后可如丝般光滑柔顺，有效抑制头发毛躁：http://t.cn/RvjainM 【Pantene 潘婷护发素2*200ml装】强化毛鳞片，让头发看起来更加饱满健康，防止造型损伤，可与洗发香波配套秒杀，开启囤货模式[偷笑]：http://t.cn/RvjaJia 秒场链接：http://t.cn/8ktMXEi,neu,neu,neu,neu
239,【盛典】施华蔻清屑舒润洗护套装 400ml洗发水露+200ml润发素乳 万人追捧 http://t.cn/8kx6zEY?  [威武] [神马],neu,neu,neu,neu
240,西班牙购入 欧莱雅ELVIVE护发素，绿色修护干枯发质，橙色修护烫染发质。 http://t.cn/8FBsBmX（分享自 @微店 http://t.cn/8kD2fJZ）,neu,neu,neu,neu
241,#我最喜欢的省心价商品#对于长发的我，最喜欢的省心价商品就是08号的潘婷。,pos,pos,pos,pos
242,护发产品里面只爱欧莱雅护发土豪金,pos,pos,pos,pos
243,#乐买个护化妆# 亚马逊：沙宣，海飞丝，丝源男士护发产品　促销详情: http://t.cn/8FFGboc 来自: @乐买推荐,neu,neu,pos,neu
244,小券又来给大家发福利啦~光是5折怎么够，领取【施华蔻官方旗舰店】20元优惠券，双十一下单满200，再立减20元！还有更多活动，马上看看吧！http://t.cn/R7WlcrU,neu,neu,neu,neu
245,我要去给飘柔做代言！ http://t.cn/RhpgWnf,neu,neu,neu,neu
246,肉丸酱 发表于 2014-3-24 19:58:02 对的 但是我觉得不好用啊 就了楼主说的一样 洗发水用了之后超干 一定要用护发素 不然感觉就是枯草. 丝蓓 ... 嗯。我也不喜欢海飞丝。白色资生堂要比蓝色更润一些的感觉。 不过感觉性价比还是力士那个红色的高，洗了头发比较轻盈,pos,pos,pos,neg
247,《潘婷泰国广告（卡农）小提琴版》 感人 的广告，为什么只是广告、、、、 http://t.cn/zOsplSV  （分享自 @土豆网娱乐）  you can shine.  看一次感动一次@mark,neu,neu,neu,neu
248,#欧莱雅精油护发#我在这里许个愿，愿你们的粉丝越来越多，愿自己可以中奖。  地址：http://t.cn/8kBYjQQ,neu,neu,neu,neu
249,#精品购物指南#【型护有规DEADLINE 玩转数字游戏】（从上至下）  巴黎欧莱雅奇焕润发精油 79元/100ml  你知道吗？这可是全球每15秒就会卖出一支，在欧洲和... http://t.cn/zQqPYKt @搜狐新闻客户端,neu,neu,neu,neu
250,#斐，你莫属#施华蔻斐丝丽新品天猫全球首发，0元赢Smart!我一定要坚持下去，我相信有一天奇迹就会出现. 地址：http://t.cn/8sikfYg,neu,neu,neu,neu
251,#潘婷夏日开启闪耀秀发#潘婷开启闪耀秀发  地址：http://t.cn/zT8ws56,neu,neu,neu,neu
252,用了一次欧莱雅护发土豪金感觉很好欧莱雅护发土豪金//@美容健康资讯榜: 感恩节妹纸们有收到#欧莱雅奇焕润发精油#吗？头发感到干枯的时候，随时按压两下，从发丝涂抹至发梢，轻柔按摩秀发；精油渗入发丝，能够水亮丝滑一整天哦！,pos,pos,pos,pos
253,lz今天和朋友去做头发，然后百度了下，找了家感觉还不错而且有团购的。 然后就冒雨奔去了。 之后，我只想说，特么x星的高分你家是花了多少钱刷出来的？？ 我做倒模护理，没有团购，朋友在百度糯米团的烫发券。 刚刚进店，没人招呼，就一个男的站前台那，简单问问之后，朋友就被拉去洗头了。 我就被安排在一个位置听那男的推荐倒模产品，本来想着就是做倒模的，买产品可以多次用，就买了产品，施华蔻丝雅羊绒滋养护理倒模，680，还要加上每次38的洗吹费用。我就想着，可能服务会好点。就买了。。 我比朋友结束得早，无聊就先,neu,neu,pos,neu
254,#蚌埠无痕接发##蚌埠接发前后效果对比##合肥无痕接发##蚌埠接发#关注@Super___Mark转发此条微博并@ 您的3位好友 12月1日~10日将由@转发抽奖平台 抽出转发分享最多的前3位妹子 免费无痕接发 所有转发分享的妹子 都可以免费领取潘婷洗护套装一套  还等什么 快点行动吧微信thz625950 http://t.cn/R7V0SvW,neu,neu,pos,neu
255,宝洁成被山寨大户 400ml山寨海飞丝成本仅5毛，上我查查黑榜了。 http://t.cn/zTdWmS8,neu,neu,neu,neu
256,#欧莱雅精油护发#感谢小编为我们奉献这么精彩的活动！[礼物]  地址：http://t.cn/8kBYjQQ,pos,neu,neu,pos
257,#男士护发革命#沙宣、海飞丝丝源复活男士新品盛大上市，逆重挺立造型，丰盈厚韧头发即刻拥有，现在开始新品套装5折限量起售，找到专属你的护发装备@亚马逊 @宝洁生活家@小手牵大手不离 @做洗脸盆子逛松花江 @幸福天使刘娇娇,neu,neu,pos,neu
258,#汉高圣诞合家欢#最先看到的是：丝蕴，施华蔻，光明！,neu,neu,neu,neu
259,三八妇女节马上就要来了，快来发挥你的想象力，看你能不能逗乐你的小伙伴哦。了解下图中的故事，然后任意选择扮演要求中的角色，[ali想]说出他（她）脑中的奇葩闪念吧！另外，欧莱雅润发精油全国免费试用正在火热进行中，赶紧点击链接http://t.cn/8FjTYTV申请吧~[转发],neu,neu,neu,neu
260,#没得比个护化妆#易迅[上海分站]：手快有 华东： 飘柔 倍瑞丝专效护理专研顺滑700mlx2 优惠装  折合27.4元 促销价格￥27.40 http://t.cn/Rv1cVPJ,neu,neu,neu,neu
261,ELLE中文网联手宝洁生活家以爱之名，为您诚意奉上“为爱变身王牌“礼盒，让您摇身蜕变，成为令人瞩目的男神/女神！马上申请礼盒完美变身，成就更有型、更自信、更洁净的完美的你！ 礼盒豪华阵容： 1.王牌除毛：维纳斯Venus&Olay除毛刀 (1刀架1刀头) 2.王牌洁净：亚洲首发碧浪洗衣凝珠一盒500g 3.王牌打底：沙宣男士净化打底洗发水180ml ELLE中文网会员福利： ELLE中文网为会员独家抢先试用！登陆申请页面，只要写下申请理由并愿意收到礼盒后填写试用报告，注明ELLE中文网会员ID,neu,neu,pos,neu
262,欧莱雅精油护发支持一下 感觉挺不错的 地址：http://t.cn/8kBYjQQ,pos,pos,neu,pos
263,我试用了沙宣修护水养洗发露，我觉得：很不错，洗后很柔顺，个人比较喜欢这个牌子。 （分享自 @喜试网） http://t.cn/zQXPhP9,pos,pos,pos,pos
264,L'oreal/欧莱雅护发精油免洗护发素头发卷发尾油毛鳞片修复精华液    便宜了：17.50元。     http://t.cn/zTUdYaJ,neu,pos,neu,neu
265,【视频『泰国潘婷广告 - 化碟』Pantene - Chrysalis -You.Can.Shine—在线播放—优酷网，视频高清在线观看】『泰国潘婷广告 - 化碟』Pantene - Chrysali... http://t.cn/h9EHGP （分享自 @优酷网）,neu,neu,pos,neu
266,#金致DNA#测试你有哪种金致基因，赢施华蔻小金瓶！我来啦，参加活动，收获惊喜，祝小编天天开心，祝我好运降临，(*^__^*) 嘻嘻… 地址：http://t.cn/8kI3rsM,neu,neu,neu,neu
267,【打折信息】接上条微博呵。4。巴黎欧莱雅护发油，效果不多说，国内又死贵有木有，折后8.4澳币。5。一定要推荐给女生用的免水洗发喷雾剂，不方便那几天或者要出门没时间洗头？别再用痱子粉啦，方便又香喷喷的喷雾来了，折后200ml 6澳币，50ml 3澳币！6。其他推有sukin，Al'chemy，具体问掌柜啦[爱你],neu,neu,pos,neu
268,#春日好礼#Vidal Sassoon(维达沙宣)，这个充满了传奇色彩的世界美发巨匠，对追求完美的美发造型艺术始终饱怀激情。  地址：http://t.cn/8sqDwXT,pos,neu,neu,pos
269,#有奖转发#【施华蔻幻彩染发霜】@388夏夜真 @细喵灬 @异梦菲儿,neu,neu,neu,neu
