Post#,Post,Relevance,Sentiment,AD?
246753,L'Oreal Paris EverStrong Hydrate Shampoo巴黎欧莱雅天然植物深层修护洗发水8.5盎司装S&S后$5.67加强滋养成分，生物科技提取，天然植物成分，不含硫酸盐，温和不伤发，强韧发质，帮助抵抗断裂、毛糙，迷 >>>http://t.cn/zYmUknJ,Y,NEU,advertisement
398808,#掌閱iReader閱讀分享#有沒有發現我最近進步了很多？給你這本《重生之官商和尚用潘婷著》，和我一起進步吧@掌阅iReader http://t.cn/RzAaDEO,N,,
630139,没有想到飘柔居然会这样的强悍的呢#沙龙私享家#,?,,
215309,世界级新英雄竞技#英雄三国9.11开放测试#史诗级三国英雄全面登场，现在下载客户端抢先注册登录还可抽取华硕ROG高端主板，够用一年的海飞丝男士洗发露等，还等什么，赶快和小伙伴们一起来玩吧 http://t.cn/z8Pu9NK ,Y,NEU,advertisement
733610,受美发界的哈佛-沙宣美发学院邀请，本月30日上海东方艺术中心全球沙宣60年大师班、向沙宣致敬、向经典致敬！你们准备好了吗！,N,,
557574,特反感那些在炫富的人，本尊的牙膏用的是高露洁，洗发水是飘柔，手机是诺基亚，哪样不是名牌？每天坐着几百万的公交车上班，并和五百强企业，建设银行，农业银行，中移动，中石油，国家电网，沃尔玛等保持长期稳定的合作关系！你有见我炫耀吗？ http://t.cn/8kRRKXr,Y,NEU,SARCASTIC
608089,用飘柔发型不愁 啦啦啦,Y,POS,
588755,自己做的水果哦～酸奶特别好喝～在泰国买的的飘柔20元，在中国买应该是32元同样大小的😁方便面巨小😂 http://t.cn/RvUBfHH,Y,NEU,
112212,"屌爆了！我在京东JD.COM购买了海飞丝去屑洗发露护根防掉发型200ML（新老包装随机发放）,★★★★★：洗发水很好、是正品！~~以后都上这买了~#京东让红包飞#超赞的！ http://t.cn/8k6AwA5",Y,POS,advertisement
683432,"#斐丝丽花园咖啡店# 我为@XXX@XXXX@XXX送上了一杯亲手DIY的斐丝丽花香咖啡，20元咖啡抵用券立刻入手,我们已经相约一起在春光明媚的日子里，去斐丝丽花园咖啡闪店享受午茶时光~大家一起来试试吧！http://XXXXXX http://t.cn/8sQNvli @施华蔻官方微博",N,,
48618,最近新烫了头发，觉得头发变得非常枯燥，便在朋友的推荐下使用了清扬女士头皮养护润发精华素，此款产品是专门为头皮发丝养护设计的，配方丰润不油腻，蕴含多种维他命和矿物精华，可以补充头皮营养润泽秀发巩固去屑效果[给力]在第一次使用了后就觉得头发变得柔滑多了[给力][赞]感谢@美食妞地盘 [亲亲],Y,POS,
761560,【沙宣短发】将女生的短发修剪成沙宣的样子，显得十分的美丽好看，整齐的线条设计，给感官上带来极大的享受，长短不一的设计，很好的切合了女生的脸型，将女生衬得干净利落，尽显清新自然。,N,,
404069,我试用了潘婷时光损伤修护系列三件套（一套），我觉得：潘婷的洗发水就是不一样，味道好，质量好，我非常喜欢。 （分享自 @喜试网） http://t.cn/RvOzXSE ,Y,POS,
97329,老婆，给你商量个事好么？下[帅]次把你的洁尔荫放得离我的海飞丝远一点.......,Y,NEU,SARCASTIC
125232,　      你能一口气加上语调读完嘛？  你的益达       是你的益达 鸿星尔克        to be     number.one 去屑实力派      当然海飞丝 好空调           格力造 怕上火           就喝王老吉～  读完了对吧，好累啊对吧，你觉得你有病了吧，何弃疗？　　　　　　　　　　　　　　　　　　　　,N,,
740481,自从来到青岛，实验不咋地，头发倒是变毛燥了，狠狠心买了瓶沙宣，居然都洗不成以前的样子了。。为了防止头发白了，一天吃一勺芝麻，恩。人艰不拆。😔,Y,NEU,
44541,@苏宁易购客户服务中心 4003492900 投诉苏宁易购延误发货，并申请延误发货的赔偿， 清扬男士去屑洗发露7月份的订单到9月13日还没有收到。一再改期，这送货速度，实在太坑爹了 ，投诉客服12091233业务水平非常差，态度也非常差，说延时发货有赔偿，后一秒就抵赖了。,N,,
637352,飘柔 就是这么自信!,Y,NEU,SARCASTIC
485388,今天快乐不[爱你]爱你们@桑格幽幽 @Daniel潘婷 @蝴蝶結結結結結 @我的小小点心 @兰溪幽梦  我在:http://t.cn/z8nw3Nt,N,,
614674,天津话里的广告语[走你]1.李宁 Anything is possible-嘛四儿都备不住！2.耐克Just do it-就恁么地！3.雀巢咖啡 The taste is great-倍儿好喝！4.飘柔 Start ahead-从脑dei开始neng！6.麦当劳 I lovin it!-咱就耐介个！7.美特斯邦威-就走犄角嘎啦！8.森马-窜嘛往介儿看！[哈哈],N,,
170132,好幸运！我刚刚在#丝源会#中抽到了丝源体验套装，滋养发肌本源，盛放秀发生命力！你是否也想体验到高端海飞丝头皮SPA呢，快来和我一起加入丝源会吧！ @海飞丝丝源复活 http://t.cn/8FLgyCj,Y,NEU,advertisement
580569,"发表了博文 《少年无名传奇》 -  少年无名传奇 前言：每个人心中都有一个梦，笔者以真实故事开头，以虚构、夸张的手法描写，只不过为了圆己少年时的一武侠梦。 第一章飞来横祸  “山路萦纡鸟道长,玉带飘柔 http://t.cn/Rv8SIDe",N,,
396768,反正你也不是零点生的，我就不到零点再发了，反正我是爱你的，每天都一样。@我是Kmoon潘潘婷,N,,
636691,飘柔就是这样自信[飞机][飞机][飞机][飞机][飞机],Y,NEU,SARCASTIC
338868,[失望]总是找不到合适自己的发型~~CO国际造型欧莱雅套餐，[亲亲][亲亲]专业造型师为你量身定做最适合发型，让您充分展现自身魅力！送1200个积分币！http://t.cn/8kycQZn,N,,
746692,如果大家爱惜自己的头发，就请耐心看完-市面上的大部分洗护都是含硅的，凡是在使用潘婷，海飞丝，沙宣之类的洗发水的，你的头发一定比以前要少而且头发掉得很多 !答案揭晓：这些洗发水含有一种工业胶，这种胶质能够堵塞头发的毛鳞，所以，你的头发变顺滑了也更亮了。 http://t.cn/RPvYv0S,Y,"Pantene=NEG
 Vidal Sassoon=NEG
 Head&shoulders=NEG",
395492,大学开始就是清扬洗发露和欧莱雅洗面奶 直至现在用 仔细想想 它们还是依然清晰 不过要仔细就是了。,Y,"Clear=AMBIGUOUS
 L'Oreal=Ambiguous",
272822,#我的欧莱雅秀发非凡时刻# 我在欧莱雅懒美人秘社里最喜欢的“懒”美人小贴士是用勺子敷眼睛去眼袋，因为非常实用而且方便,N,,
492246,一别之后二地相思 只说三四月 谁知四五年 这次要多久才能看到对方 @小威威大智慧_ @WAN9-cs @王靖楷 @PAN潘婷_ @潘藤儿 @潘平常 @侯攀阿 @潘怪人 @-Su俊鑫 @-苏泽发 @-苏珊儿 @苏月瑜 @趁年轻_折腾吧_ @-张静文z @我叫成龙但是姓傅 @王思思阿 @戴于雄 @戴_珊瑜 @戴双婷 @胆重润- @戴静艺,N,,
406562,clinicare染烫损伤润发乳，趁屈臣氏有活动，入了第三瓶，我对洗发水要求不高，只要能维持两天头皮不痒就够了，不然头皮痒就掉发厉害～含不含硅无所谓，伊卡璐的无硅用过了，头皮依然痒～而潘婷、沙宣、施华蔻、欧莱雅、丝蓓绮等等，用过不同系列呢，还是觉得clinicare这款目前比较适合我头皮～,Y,NEU,
495705,@o-潘婷 菠萝你吵到我睡觉了，非要唱歌给我听，那就唱到我睡着吧！[爱你],N,,
267997,最真实的买家秀：第一张是只做一次前后对比图哦 评价内容“前边三张没有做的时候，后边两张做了之后的。比欧莱雅的施华蔻的好太多了。大概做了三次左右，本来头发打结的，现在头发基本不打结，除非好多好多天没有洗头。。” 购买链接==》http://t.cn/8sj2H7e,Y,NEG,advertisement
185656,rihanna有些时候真是让人觉得美的不可方物[可爱]晚安 今天不给你发微博的机会了@芷兮_相思始觉海飞丝 [哈哈],N,,
488661,爱玛电动车、方太油烟机、潘婷等等产品都在广告中说自己是什么领导者！真是的让人不吐不快！现在中国的电视广告是个什么气氛？,Y,AMBIGUOUS,
254755,#欧莱雅一滴改变等你见证# @白白白的林仔 @lzy33333 @睡不醒的曲奇_Cookie  我需要欧莱雅奇焕润发精油，因为我想让我的头发柔顺光泽[爱你],Y,AMBIGUOUS,
139872,伊式百货站（佛山），这是我的微店主营:宝洁系列产品如飘柔，海飞丝，沙宣，潘婷，玉兰油，帮宝适等 http://t.cn/8FdU4Kr（分享自 @微店 http://t.cn/8kD2fJZ）,Y,NEU,advertisement
194075,大家快来看，这是我刚刚#丝源会#中做的头像花盆，你是否也希望和我一样，有一个印着属于自己头像的定制花盆呢？现在就加入丝源会，绘制属于自己的头像，建筑你的丝之花“源”吧。@海飞丝丝源复活 http://t.cn/8kUtpto,N,,
276803,#我的欧莱雅秀发非凡时刻# @爱眯的小眼睛 我的测试结果是勤劳“懒”美人 你也来测试吧,N,,
600160,我这头发说是假的都快没人信了@OAnluO @进巍美甲Oo小甜甜oO 直接拿去拍洗发水CF都不成问题，就这样莎姐还因为我掉了几根纳米要免费重接一遍[晕]，有了长发遮脸不美图我都敢po照片发博[哈哈]飘柔，就是这样自信！[嘻嘻]晚安!（洗完澡觉得自己特美—脑子进水）,Y,NEU,SARCASTIC
380815,#N多团广州美发#【天河区东圃客运站】仅108元，享价值1075元的盖艺美发烫染美发套组！欧莱雅烫发800元/莱雅炫彩染发780元/欧莱雅直发800元（3选1）+免费WIFI +资深发型师剪发1次+护发倒膜或奶疗1次+烫前护理1次。男女不限，专业技术，优质服务，为您打造独具魅力的发型！http://t.cn/zRai2Im,N,,
269005,#我的欧莱雅秀发非凡时刻#  @艾艾市场营销策划有限公司 @宋蕊@毋庸置疑啦@乐颜想要和我有一样美丽的秀发吗？赶快来加入我们吧。,N,,
484638,DOD缘冰乐   真的好喝哦[嘻嘻][嘻嘻][嘻嘻][嘻嘻][爱你]@Ailsa潘婷 @Flora大癫子 @名侦探家的柯北 我在:http://t.cn/z8SzLIi,N,,
745859,小伙伴们都成盒拿了  好吧，我再来普及一下！  台湾宝岛魔皂 纯手工打造 ：普通产品无可比拟的三大优势. 十二个装洗漱一整套  ：一：控油活性剂 比沙宣 海飞丝洗发水去屑去油好十个比例  二：祛痘无患子 更安全祛痘   三：收细毛孔去死皮，美白嫩肤 http://t.cn/RPAD44k,Y,"Vidal Sassoon=NEG
 Head&shoulders=NEG",
410527,啊！是不是不发微博就没有人关注了@阿尼盎 @来自Running星的啮小蜂 @潘向上潘婷爱理综爱学习 ,N,,
36269,对于【埃神狂飙破门振臂怒吼】我有最独到见地。@maoshan63 @志宜雅君爱智 @zhanghongwei56941 都给捧个场，为我的#清扬冠军见地#转发喝彩！你也有最神的评论？来@Clear清扬 亮出来瞧瞧：  http://t.cn/8k2Eayf,N,,
502719,这广告太不同啦  小水又是灰姑娘 卡农 潘婷广告 英文字幕版-Canon 高清MV-音悦台 PS：@音悦台 iPhone客户端发布了，下载地址：http://t.cn/zOF2UF3 http://t.cn/zTJxITW  （分享自 @音悦台）,Y,NEU,official adv. Quato
526030,#倍瑞丝story#在那个大众还在纠结于用完洗发水之后还需不需要用护发素的年代，宝洁已经开始致力于研究“无界沙龙”式的产品，Aphrodite阿佛洛狄忒的研发项目应运而生。飘柔倍瑞丝希望以后亿万女性在家即可实现如Aphrodite女神般完美的秀发。,Y,POS,
397235,大晚上来这闲扯一下感受 就是潘婷的那个发膜太好用了[悲伤]感动的我要哭了 用完头发超滑超顺 回苏州我就去买[doge] http://t.cn/Rz8hNio,Y,POS,
725680,亲们，进口施华蔻正品  保丽水份平衡喷雾润护发素，卖断货了！现需提前预订了！ 我在:http://t.cn/zHbvgSZ,Y,NEU,advertisement
201443,大家快来看，这是我刚刚#丝源会#中做的头像花盆，你是否也希望和我一样，有一个印着属于自己头像的定制花盆呢？现在就加入丝源会，绘制属于自己的头像，建筑你的丝之花“源”吧。@海飞丝丝源复活 http://t.cn/8kZbyzB,N,,
143596,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FnWnXz,N,,
200757,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8kZnafp,N,,
338191,#欧莱雅护发土豪金#我好喜欢欧莱雅护发土豪金，现在头发又顺滑又不油腻,Y,POS,
98400,老婆，给你商量个事好么？下次把你的洁尔荫放得[做鬼脸]离我的海飞丝远一点.......,Y,NEU,SARCASTIC
738850,心里很憋屈，头发彻底没有弹力了，等发色变浅再去染烫，沙宣造型应该很好吧！[抓狂][委屈][做鬼脸],N,,
726218,"【姬发造型会所优惠券】>>凭此券仅需108元，  尊享原价428元的欧莱雅烫染套餐：洗剪吹+欧莱雅烫发/欧莱雅染发+烫后护理1次+再送200现金抵用券；另有138元施华蔻烫染套餐的优惠券哦！（南坪万达广场、观音桥红鼎国际A座24、观音桥茂业大厦）领取免费→http://t.cn/zlHrf2z 时尚造型,展现灵动之美!",N,,
395769,潘婷。。 http://t.cn/RhVjTI0 ,?,,
171163,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8F2oifC,N,,
502879,妈妈们和媒体都已经到咯。看到P&G你会想到什么呢？佳洁士、玉兰油、沙宣、飘柔、海飞丝、潘婷、帮宝适、护舒宝、品客、海肌源、叭喇叭啦,Y,"Vidal Sassoon=NEU
 Rejoice=NEU
 Head&shoulders=NEU
 Pantene=NEU",
791123,[泪]网购了个沙宣 结果很 无奈+头痛...,?,,
692960,#时尚教父潮流对话#我刚与卡尔·拉格斐进行了一场穿越时空的潮流对话，这是他为我推荐的“花漾迷境”，很特别不是吗？@涛爱昭生活馆淘宝店@美丽说-每日刊@要保护眼睛了 快点击http://t.cn/8sGMmSV 与他对话吧，还有丰厚的礼品拿！@施华蔻官方微博 ,N,,
719901,施华蔻的那个水疗素ms真的不错，用了几次不知道是不是心理作用，觉得头发质地有改善。上次烫了以后头发一直受损，现在觉得好多了。,Y,POS,
452571,第一场去迟了！然后赶去了徽园  没想到中了大奖[嘻嘻][嘻嘻]谢谢男神@908江南 跟女神@908潘婷 今年的第一天就给我带来这么好的运气！[害羞]@安徽交通广播 @宣酒,n,,
667851,0点开始的2款施华蔻旅行套装9.9元，价格挺不错的，有需要的可以关注下 http://t.cn/RPL9iBT,Y,POS,advertisement
282794,#我的欧莱雅秀发非凡时刻#我的同事对我的头发评价是蛮不错的(来自 http://t.cn/8s4WPTJ ),N,,
657478,施华蔻营养水~[鲜花],Y,POS,
281358,#我的欧莱雅秀发非凡时刻# @邓飞 @大仙 @张亮Sean 我想拥有和她一样的头发,N,,
83813,#当青春遇上节操#天雷滚滚，毫无节操，支持观点投票，赢海飞丝礼包和小米盒子！@我的青春高八度 @海飞丝实力派 http://t.cn/RPqSE9D?_rnd=6141,N,,
314559,#热销单#【祖庙】仅售99元！最高价值624元的千百千专注发型烫染直3选2+洗剪吹，商家提供免费WiFi，赠送价值168元巴黎欧莱雅丰盈活力修护发膜1次。男女共享。 http://t.cn/8kVDUH8,N,,
558231,和某胖出门，小风吹的哥的头发乱飞[怒]，他说可以去给飘柔做广告了！还没来得及高兴，他摸着哥帅气的发型继续说[这酸爽~][怒骂][鄙视]哥又不是泡面，酸爽泥煤啊！[怒][怒][怒]某胖被拍屎路上~~~  XX年XX月XX日@srsrsr王子,Y,AMBIGUOUS,
292122,#我的欧莱雅秀发非凡时刻#）+@惠普喀嚓鱼 @花花家的妞 @紫灵琳 三个好友+我像拥有还珠格格的发型 这样尔康少爷就会喜欢我,N,,
269877,#我的欧莱雅秀发非凡时刻#（必须输入活动主题）+@必胜飞蓬 @於洋 @飞飞小年华+为什么你想拥有和她一样的头发+你的偶像照片和你的照片(可选，分享照片将会增加你被选中的机会）,N,,
641839,飘柔，就是这么自信[给力][给力]@erdongjiji @亲爱的jENnY,Y,NEU,SARCASTIC
282287,#我的欧莱雅秀发非凡时刻#这个是我最最钟爱的自己的发型，因为长度刚好易打理，还很有女人味[害羞],N,,
69326,@Min_Snapdragon_QSD8650 就这个海飞丝,Y,NEU,
422688,刚起床去刷牙被自己惊呆了！！！卧槽哥哥帅气飘逸的头发去哪了！！！潘婷不是说好了五大受损一个对策嘛！！！,Y,NEG,
649181,"【美妆心得－化妆品点评宝典】 分享一个很赞的宝贝: 施华蔻羊绒脂深层修护发膜, 参考价格￥66.00, 56条点评, 综合评分8.1, http://t.cn/RzTFc0N",Y,NEU,advertisement
97711,因为用了海飞丝 所以我有了头屑,Y,NEG,
387850,欧莱雅，飘柔，丝蕴，潘婷，伊卡璐，力士，海飞丝的护发素相比较，还是多芬好用。,y,"Rejoice=NEG
 Pantene=NEG
 Head&shoulders=NEG",
501339,姐姐在潜江→_→刚吃完特色小吃，but我hold不住啊，太辣了~比武汉的还要…看起来都是红红的辣椒油~[害羞][害羞][害羞][害羞]@安安然然姓王啊啊 @渴望旅行的潘婷 @黄飞飞飞鸿决定用心生活每一天 @Mr朱磊磊 @林琴在路上 我在:http://t.cn/zTKKFX5,N,,
499930,@Speedo天猫旗舰店 宝贝收到了，礼品很赞、很贴心。BTW，我也在用@潘婷Pantene 的产品。,Y,NEU,
45969,这是又要下暴雨的节奏…话说这个止痒的洗发水是越洗越痒啦，操起瓶子又看了下，是清扬没错啊。。。不是什么“清杨”或者“青扬”之类的哈[汗]搞起我不敢用了 我在:http://t.cn/zQWvtfU,Y,NEG,
63824,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/R7ANrnP,N,,
631007,#待我长发及腰# 我要用飘柔洗发水,Y,POS,
199626,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8kwF4Lz,N,,
728793,#汉高新人的一天# 巡店结束，临近下班。Alicia今天打算享受一下汉高员工的专属福利，前往施华蔻ASK美发学院进行免费染发体验。不但可以享受国际级的染发技术，还有各种发色的染膏供你挑选。这是每一位汉高员工的福利，你有没有很羡慕呢？,N,,
486681,@也不着调 就潘婷多[衰],N,,
692009,还有施华寇也是德国的 就国内说的黑人头。施华蔻终极精华1分钟深层修护发膜范冰冰是娱乐圈出了名的爱发如命，据说每天都要用发膜护理头发 想要乌黑亮丽秀发的妹纸们看过来，施华蔻家这款深层修复发膜富含珍珠精华，能够给干燥的头发提供充足的营养。220rmb,Y,NEU,advertisement
787273,我试用了沙宣修护水养润发乳，我觉得：有了洗发的，一定要护发的，一起申请到了，不错 http://t.cn/zHWPQcr  （分享自 @喜试网）,Y,POS,
350694,#欧莱雅护发土豪金#有光泽感，你值得拥有~,Y,POS,
483832,清货，以下均为洗发水中样，洗发水50ML+护发素50ML，有海飞丝沙宣潘婷三个牌子，均只有一份，售完就没有了，12一份，超值,y,neu,advertisement
712128,【双11上手机淘宝不只是5折】用手机快人一步抢先下单，更有1000W免单等你来抢！详情：m.taobao.com 现货 德国施华蔻/丝蕴SYOSS专业漂染剂/褪色剂/漂色膏 12-0 http://t.cn/zRjkgsS,Y,NEU,advertisement
57625,#海飞丝校园之星歌手大赛#我发现了一个校园之星！>> 许飞扬 - 肇庆学院 >> http://t.cn/RhlmECU ,N,,
737770,#朵澜洗护套装#【朵澜】什么❓你说你用海飞丝❕潘婷❕清扬❕伊卡璐❕沙宣等❕全是名牌，结果怎么样，全含硅油😒很想问，含硅油的洗护产品如何去屑？？如何去油？？如何不掉发？？如何恢复头发的健康？朵澜帮你解决[得意]微信339098731,Y,"Head&shoulders=NEG
 Pantene=NEG
 Clear=NEG
 Vidal Sassoon=NEG",
113214,JOJ活动二🎉🎉原价480元的joj粉麝香深层柔亮护发霜，活动价380元！！你猜怎么着，不仅如此，我们还送同款洗发水哦！如果你还在用潘婷，沙宣，海飞丝，你就太out了，看看我前几天发的消息，找找你掉发的原因吧👉👉,Y,NEU,advertisement
245420,#欧莱雅一滴改变等你见证# @RM-宁 @阿库拉玛塔塔T @飞奔的肥妞 欧莱雅奇焕润发精油帮我解决了头发干枯、发叉,Y,POS,
649054,我刚刚在#新浪试用中心#申请了免费试用【施华蔻至臻修护精油润养液】，还包快递哦！你也赶快申请一份吧！http://t.cn/RzxFGMf,Y,NEU,advertisement
483605,潘婷廣告都是勵志的好姑娘『潘婷俄罗斯励志广告，成功就在你面前，只要你不顾一切的努力 - 56网』http://t.cn/zQ8DS7f,Y,NEU,official adv. Quato
403432,#下班之前来一发#时入深秋，对秀发的保养要更加注意。正巧，小六家正在举行【头发“枯/燥”是缺爱】活动，沙宣、飘柔、潘婷、伊卡璐等大牌竞相降价！猛戳http://t.cn/R7zKwSZ 有惊喜哦！,Y,NEU,
254276,"#欧莱雅一滴改变等你见证# @孙能斌 @hswmixi @神都可以 这是我的欧莱雅奇焕精油“天使环"",因为欧莱雅奇焕润发精油使我的秀发更润泽更顺滑",Y,POS,
703212,德国汉高 施华蔻 syoss丝蕴深层修护 10ml洗发 10ml润发 体验装    一口价：0.50元。     http://t.cn/z8ZrLeQ,Y,NEU,advertisement
799830,英式沙宣裁剪＋日式烫染造型1.1GB 由专业美发视频社区提供在线下载。你是做美发的吗？你想学美发吗？你还在网上苦苦的找美发视频吗？ 你是还会花几十甚至几百块买美发视频光盘或美发资料吗？ 你不来专业美发视 http://t.cn/zT4eTLu,N,,
734281,我试用了沙宣修护水养润发乳，我觉得：用起来还是挺不错的，比较顺滑，味道也挺好闻的 （分享自 @喜试网） http://t.cn/8sKZz06 ,Y,POS,
449613,#最好的朋友跟了你几年了#@潘婷仔 9年@chen宝玲要成熟 @SoNg- 7年@-Vvy- @梁_萍果 @潘20 @张秀娟娟娟娟哥 @__-梁雪梨 @谁能给我幸福呢 @谁人待我好待我差太清楚 3年 http://t.cn/z8LF6F1,N,,
62942,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/R75orVN,N,,
573169,飘柔需要你们这样的代言人～ http://t.cn/RPcAHdy,Y,AMBIGUOUS,
290120,#我的欧莱雅秀发非凡时刻#  @艾艾市场营销策划有限公司 @云OS @期望天已晴  我已经是欧莱雅“懒”美人秘社成员咯，这个平台最让我兴奋的地方是能学到超多超好的美容美发知识，有丰富多彩有趣的活动可以参加，还有丰富的奖品可以拿到噢！好喜欢啊！,N,,
643237,洗个头过来继续奋战，发现最近#掉头发#很严重，不知道是压力大还是洗发水的问题，用久了飘柔潘婷，这次换个牌子，新买的这款味道很好闻，淡淡的葵花香，因为是台湾出品所以很信任，在VIVO会员卡买还是全价，洗完头发有点毛躁[泪]怎么办？害怕掉头发，我不想聪明绝顶[抓狂],Y,neu,
300524,#非凡心愿从“头”期许#喜欢巴黎欧莱雅，愿我的秀发，健康起来,Y,POS,
92996,【视频】@海飞丝实力派 @蔡依林 15秒广告ver1 http://t.cn/RvmBHYg ver2 http://t.cn/RvEev24 [兔子],Y,NEU,official adv. Quato
110667,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8ssbl1R,N,,
691455,今天下雨了今天早上吃的蛋炒饭晚上画了情侣漫画现在头发还没有干朋友让逛街我说忙今天领导喝酒了就夸我了明天中午自己做饭吃洗发水没有了施华蔻的味道挺好的包里的东西还没收拾化妆棉没有了搭档和老公吵架了明天一个人睡到自然醒今天加油站没有油了脸上长了好多痘画是圆珠笔画的最近没买发卡我一会再睡,N,,
252795,#欧莱雅一滴改变等你见证#@orar9 @menofhonorar @orar5 吸油面纸视频(http://t.cn/R78YNWC 赶快来看一下欧莱雅奇焕润发精油的吸油面纸实验吧，你肯定会受益匪浅的,N,,
515665,我特别反感炫富的人！我牙膏用的高露洁洗发水用的飘柔哪个不是国际名牌？我每天坐着几百万公交车和几千万地铁上班都没炫耀，那些开几十万宝马上班的人牛气什么？我常年和中国银行、农业银行、中石化、中移动、国家电网、沃尔玛、肯德基世界五百强企业保持合作关系。你见过我炫耀么 http://t.cn/RzV1L1B,Y,NEU,SARCASTIC
440226,拒绝使用潘婷！,Y,NEG,
674080,人人皆知护发素上到发根会脱发，为何呢？简明回答：因为含有硅油的化学物质，硅油不溶于水，易沉淀，如今现在大部分洗发水为了达到顺滑效果都有添加，为了头皮及头发健康请认准品牌，了解成分！选用发廊专业洗护是你最佳选择！施华蔻是全球四大品牌之一百年历史！清清之店铺@淘宝  http://t.cn/8FtQzzJ,Y,POS,advertisement
123046,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8sKOjXU,N,,
519744,现在我的头发比飘柔还要“油”了～～～～～昨晚被一只蚊子搞得睡不好，今天小宝宝就困得很少动了[爱你][爱你],?,,
315577,正品 欧莱雅护发精油 卷发直发免洗护发素发尾油头发精华干燥（分享自微淘 你好漂亮美发 的广播） http://t.cn/8kMLkXG,y,neu,advertisement
46828,"我参与了@Clear清扬 发起的投票【应对恋爱挑战  邂逅无屑美丽】，我投给了""约会造型瓶颈，没有新花式怎么办""这个选项。你也快来表态吧：http://t.cn/zQAGUpW",N,,
393731,#乐蜂网#欧莱雅 炫亮修复洗护超值组合 400ml*4 洗发露 200ml，原价156，现价99，/Date(1367856000000+0800)/截止http://t.cn/zTYBZ0h,Y,NEU,
749059,头发太短了，完全留不住洗发水的香味，白瞎了昨天买的沙宣了。还不如买海飞丝爽一下呢,Y,"Vidal Sassoon=POS
 Head&shoulders=NEG",
798498,以后誓不去沙宣剪头发！！！,N,,
399778,萧县市场监管局查获一批假冒“宝洁”公司商标的产品。本次行动中，查获30家商超涉嫌销售假冒宝洁公司生产的“海飞丝”、“潘婷”、“飘柔”洗发露903瓶，“舒肤佳”、“玉兰油”香皂441块。对涉嫌销售假冒宝洁公司产品行为的商超已立案调查。,Y,NEU,advertisement
791200,【男靠吃女靠睡】古语讲：男靠吃女靠睡。强调的是男女养生各有侧重。男属阳，女属阴，动则生阳，静则生阴，因此男性要靠吃来维持动的能量，以攒阳气；而女性为了养阴要靠睡觉来维持静的状态。男靠吃女靠睡讲的是一个侧重点，实际上男女养生在吃和睡都应有讲究。 @金坛沙宣理念艺术总监_Todd #保健#,N,,
294693,#我的欧莱雅秀发非凡时刻#我刚参加了一个免费产品的试用活动，一款神奇的护发产品-欧莱雅奇焕润发精油。快来一起和我加入吧，申请链接： http://t.cn/8F3dnG2,Y,POS,
286225,"#真人试用分享#@巴黎欧莱雅多效修复5损伤复元洗发露 是修护受损秀发的第一步，莹润乳液质地能温和洁净,并以发丝的天然胶合质。打开后清香味道清新自然，有一点香甜的果味。洗发水的质地比起一般洗发水浓厚一点，触摸会有凝结在手上的胶质.洗完后头发不会很干，吹干后秀发也很有光泽。@一瓶一罐",Y,POS,
640394,用飘柔，就是这么自信~ http://t.cn/zHpx4PB,Y,NEU,SARCASTIC
138443,好幸运！我刚刚在#丝源会#中抽到了丝源音乐盒，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8FetB1b,N,,
132496,好幸运！我刚刚在#丝源会#中抽到了发肌专家咨询，可以拿积分制作更多的花盆、兑换更多优惠劵和奖品咯！@海飞丝丝源复活 http://t.cn/8sLnEl9,N,,
132957,"屌爆了！我在京东JD.COM购买了海飞丝丝源复活组合头皮净化套装（洗发露50ml+护发素50ml）,★★★★★：物流快，关键是老婆喜欢#京东让红包飞#超赞的！ http://t.cn/8DFcqye",Y,POS,advertisement
803921,爱上潘婷，爱它带给我的健康秀发，给我内在强韧，外在柔亮，让我秀发变得健康水润，焕发健康强韧光彩！,Y,POS,
